drug_name,manufacturer,approval_year,drug_class,indications,side_effects,dosage_mg,administration_route,contraindications,warnings,price_usd,batch_number,expiry_date,side_effect_severity,approval_status
Rivavir42,Bayer AG,2012,Antifungal,Bacterial infections,Insomnia,320,Oral,High blood pressure,Avoid alcohol,340.86,aA525yk,10/15/2025,Mild,Approved
Mecovir92,Pfizer Inc.,2005,Antipsychotic,Viral infections,Nausea,830,Sublingual,Heart disease,Do not operate machinery,419.95,mG293yw,4/21/2026,Moderate,Approved
Mecoprofen57,Merck & Co.,1994,Antipsychotic,Fever reduction,Blurred vision,280,Intravenous,Liver disease,Do not discontinue abruptly,270.62,rD576Or,2/10/2026,Severe,Approved
Cefxetine17,Bayer AG,2019,Anti-inflammatory,Fungal infections,"Diarrhea, Rash",210,Intravenous,Allergic reaction,Take with food,77.88,HH710uX,2/21/2028,Moderate,Rejected
Zylovir61,AstraZeneca,1997,Antibiotic,Depression treatment,Fatigue,250,Intravenous,Kidney impairment,May affect fertility,406.93,dq789Cq,12/9/2027,Mild,Pending
Mecoxetine16,Bayer AG,2003,Antibiotic,Allergy relief,"Diarrhea, Insomnia, Fatigue",650,Intravenous,Heart disease,Monitor blood pressure,50.94,So956wZ,12/24/2027,Severe,Rejected
Mecostatin74,Bayer AG,1993,Analgesic,Depression treatment,"Dry mouth, Blurred vision",740,Rectal,Allergic reaction,May affect fertility,212.23,vJ253fT,3/11/2028,Moderate,Approved
Fenostatin39,Moderna Therapeutics,2015,Antipsychotic,Fever reduction,"Rash, Blurred vision",920,Oral,High blood pressure,Avoid sunlight exposure,394.57,cf767Yh,2/15/2027,Moderate,Rejected
Mecoprofen57,Pfizer Inc.,2019,Antifungal,Inflammation reduction,"Insomnia, Diarrhea",170,Intravenous,Heart disease,Take with food,188.17,Lz193hh,3/1/2028,Moderate,Rejected
Loxozole63,Sanofi,2024,Vaccine,Allergy relief,Insomnia,950,Intravenous,Heart disease,Avoid sunlight exposure,139.57,ZY433GL,9/17/2025,Severe,Pending
Loxostatin84,Merck & Co.,2018,Anti-inflammatory,Prevent infectious disease,"Headache, Constipation",720,Inhalation,Diabetes,May affect fertility,455.72,XG796eG,3/27/2028,Moderate,Approved
Cefdipine73,Johnson & Johnson,2000,Analgesic,Psychosis control,"Headache, Dizziness",140,Intravenous,Diabetes,Do not discontinue abruptly,478.65,jI096EX,10/25/2027,Moderate,Pending
Cefcillin39,GlaxoSmithKline,2000,Antiviral,Fungal infections,"Blurred vision, Rash, Dizziness",850,Inhalation,Pregnancy,Avoid alcohol,357.64,os753hV,7/19/2028,Moderate,Pending
Daxozole67,Sanofi,1995,Antifungal,Psychosis control,"Nausea, Constipation, Blurred vision",660,Intramuscular,Allergic reaction,May affect fertility,178.91,Yu238Ug,2/14/2026,Severe,Approved
Seroxetine67,GlaxoSmithKline,2017,Antipyretic,Prevent infectious disease,"Dizziness, Dry mouth, Diarrhea",580,Inhalation,Heart disease,Use with caution in elderly,58.09,NP073Aj,9/1/2027,Severe,Approved
Rivastatin43,Moderna Therapeutics,2021,Antiviral,Psychosis control,Fatigue,760,Inhalation,Diabetes,Use with caution in elderly,261.12,oM041ts,6/28/2028,Moderate,Approved
Rivaxetine50,Bayer AG,1991,Anti-inflammatory,Depression treatment,"Blurred vision, Nausea",290,Intramuscular,Pregnancy,Do not discontinue abruptly,463.63,qu367jW,6/28/2028,Moderate,Rejected
Zyloparin25,AstraZeneca,2024,Antifungal,Inflammation reduction,"Dry mouth, Constipation",560,Topical,Allergic reaction,Monitor blood pressure,10.44,vM374IV,4/16/2026,Mild,Pending
Mecomab42,Bayer AG,2006,Anti-inflammatory,Prevent infectious disease,Fatigue,470,Oral,Bleeding disorders,May cause drowsiness,254.88,nu921lZ,9/12/2025,Mild,Pending
Zylozole88,Johnson & Johnson,2017,Antihistamine,Bacterial infections,Headache,10,Sublingual,Seizures,Do not discontinue abruptly,494.48,ka890el,2/14/2027,Severe,Approved
Serodipine52,Pfizer Inc.,2009,Antibiotic,Psychosis control,"Constipation, Fatigue",490,Inhalation,Seizures,Avoid alcohol,253.17,RV329iG,6/19/2028,Moderate,Pending
Serovir50,Pfizer Inc.,1994,Antipyretic,Fever reduction,"Headache, Constipation",800,Intravenous,Allergic reaction,May cause drowsiness,493.75,ms262Id,4/25/2026,Mild,Pending
Amoxzole80,Novartis AG,1995,Antihistamine,Allergy relief,"Diarrhea, Blurred vision",880,Sublingual,Bleeding disorders,Avoid sunlight exposure,232.48,UK011FQ,12/28/2027,Severe,Approved
Viraparin10,Merck & Co.,1992,Antipyretic,Depression treatment,Nausea,230,Sublingual,Allergic reaction,Monitor blood pressure,280.09,CM438qE,10/31/2026,Mild,Pending
Viramab45,AstraZeneca,2013,Vaccine,Prevent infectious disease,"Dry mouth, Headache, Constipation",190,Topical,Asthma,Do not discontinue abruptly,256.13,rk009KU,8/9/2026,Mild,Rejected
Cefprofen22,Sanofi,2008,Antifungal,Depression treatment,Headache,260,Topical,Bleeding disorders,Do not operate machinery,112.81,tX110Rr,4/5/2028,Severe,Approved
Amoxzole83,Bayer AG,1996,Antiviral,Depression treatment,"Blurred vision, Rash",510,Intravenous,Kidney impairment,Do not discontinue abruptly,105.08,Kk338hR,5/26/2028,Moderate,Approved
Fenostatin15,Merck & Co.,1997,Antifungal,Pain relief,"Dry mouth, Nausea, Fatigue",980,Intravenous,Asthma,Use with caution in elderly,424.19,TS680Li,9/11/2027,Mild,Rejected
Serovir46,Moderna Therapeutics,2012,Antifungal,Allergy relief,"Insomnia, Diarrhea, Dry mouth",270,Intravenous,Asthma,May cause drowsiness,405,Ec370mF,3/5/2027,Moderate,Pending
Rivazepam82,Sanofi,2003,Antihistamine,Depression treatment,"Rash, Blurred vision, Dizziness",940,Intramuscular,Heart disease,Do not discontinue abruptly,153.39,hU404zo,12/26/2026,Severe,Rejected
Rivaparin62,GlaxoSmithKline,2013,Antiviral,Psychosis control,"Constipation, Nausea",600,Intramuscular,Heart disease,Avoid sunlight exposure,69,Px897Gm,2/9/2026,Severe,Approved
Rivavir65,GlaxoSmithKline,2003,Antihistamine,Bacterial infections,Blurred vision,870,Inhalation,Liver disease,May affect fertility,385.01,iY131Um,9/1/2027,Moderate,Rejected
Serodipine29,AstraZeneca,2005,Antidepressant,Fever reduction,Dry mouth,820,Oral,High blood pressure,Take with food,122.56,tY036sn,10/21/2026,Severe,Rejected
Zylovir83,GlaxoSmithKline,2018,Antidepressant,Bacterial infections,Nausea,760,Rectal,Asthma,Avoid sunlight exposure,340.18,Aq664gR,8/7/2026,Severe,Approved
Amoxzepam23,Novartis AG,2018,Antiviral,Psychosis control,"Dizziness, Rash, Constipation",180,Oral,Bleeding disorders,Do not operate machinery,345.21,Ch145jM,8/27/2025,Moderate,Approved
Serozole98,Sanofi,2007,Antibiotic,Depression treatment,"Dry mouth, Diarrhea, Nausea",490,Inhalation,Heart disease,Monitor blood pressure,34.11,Ze723tb,2/21/2026,Severe,Rejected
Fenoparin58,Moderna Therapeutics,2024,Antipsychotic,Inflammation reduction,"Dry mouth, Headache, Fatigue",120,Intramuscular,Pregnancy,Do not discontinue abruptly,140,nS455Om,9/7/2025,Mild,Approved
Zyloprofen42,Roche Holding AG,2003,Antipsychotic,Bacterial infections,"Headache, Constipation",600,Topical,Pregnancy,Avoid alcohol,166.37,QW630JT,10/3/2026,Mild,Approved
Cefprofen81,Johnson & Johnson,2018,Anti-inflammatory,Viral infections,"Blurred vision, Headache",570,Inhalation,Pregnancy,Monitor blood pressure,149.64,vE126kx,5/22/2026,Severe,Approved
Serodipine97,AstraZeneca,2022,Anti-inflammatory,Depression treatment,Blurred vision,450,Intravenous,Liver disease,Take with food,31.74,ib794gm,8/13/2025,Moderate,Pending
Amoxdipine97,Merck & Co.,1991,Antidepressant,Inflammation reduction,"Rash, Diarrhea, Dry mouth",860,Oral,High blood pressure,Take with food,328.23,YN450Ht,2/2/2026,Severe,Rejected
Serodipine11,Johnson & Johnson,1996,Antiviral,Inflammation reduction,"Diarrhea, Nausea",340,Topical,Seizures,Avoid alcohol,319.16,uB170Ao,7/21/2028,Mild,Rejected
Daxostatin15,Johnson & Johnson,1993,Antidepressant,Inflammation reduction,"Dry mouth, Blurred vision, Nausea",450,Topical,Liver disease,Take with food,157.86,bD154ur,5/18/2026,Mild,Pending
Viraparin98,Moderna Therapeutics,2008,Antifungal,Psychosis control,"Diarrhea, Insomnia, Dry mouth",370,Oral,Asthma,Use with caution in elderly,80.91,jk827Ok,12/29/2026,Moderate,Rejected
Cefvir16,AstraZeneca,1990,Antipsychotic,Fungal infections,Diarrhea,430,Rectal,Pregnancy,May cause drowsiness,57.87,hZ060GQ,9/17/2027,Severe,Rejected
Viradipine92,Roche Holding AG,2003,Antiviral,Pain relief,Nausea,210,Inhalation,Heart disease,Avoid sunlight exposure,292.9,Mb717HC,1/4/2026,Moderate,Pending
Serostatin90,AstraZeneca,1996,Antipyretic,Fever reduction,"Constipation, Dry mouth, Insomnia",760,Inhalation,Kidney impairment,Take with food,146.49,Nj713NP,9/17/2026,Mild,Approved
Fenoxetine80,GlaxoSmithKline,2013,Vaccine,Prevent infectious disease,Rash,890,Sublingual,Bleeding disorders,Avoid alcohol,360.7,fh765dJ,1/9/2026,Mild,Pending
Daxozole54,Novartis AG,2014,Antidepressant,Viral infections,"Fatigue, Insomnia",100,Intravenous,Diabetes,Take with food,476.34,BV694DH,12/27/2025,Severe,Approved
Amoxzole92,Merck & Co.,1996,Antipyretic,Allergy relief,Constipation,250,Oral,Diabetes,Take with food,473.38,CN366zq,2/19/2028,Moderate,Approved
Virazepam99,Pfizer Inc.,2002,Antidepressant,Depression treatment,Dry mouth,920,Intramuscular,Pregnancy,Use with caution in elderly,38.21,Dw614xB,7/30/2027,Mild,Rejected
Cefzepam73,Bayer AG,2014,Antihistamine,Inflammation reduction,"Nausea, Insomnia",40,Rectal,Seizures,Take with food,292.74,al356tk,5/1/2026,Severe,Pending
Viraparin18,Merck & Co.,1995,Antifungal,Prevent infectious disease,Nausea,930,Intramuscular,Seizures,Do not discontinue abruptly,125.51,Ms347nl,12/10/2025,Severe,Rejected
Mecovir21,Moderna Therapeutics,2001,Antifungal,Pain relief,Nausea,820,Sublingual,Diabetes,Avoid sunlight exposure,397.06,hv674Xn,9/11/2025,Moderate,Rejected
Zylocillin13,Merck & Co.,2003,Antipsychotic,Fungal infections,"Rash, Constipation",460,Sublingual,Kidney impairment,Take with food,71.11,XW722uw,4/25/2026,Severe,Pending
Amoxxetine13,Merck & Co.,2012,Antiviral,Psychosis control,"Blurred vision, Fatigue",960,Intramuscular,Heart disease,Avoid alcohol,56.88,kD690OB,7/24/2026,Moderate,Approved
Fenocillin75,Bayer AG,2010,Antibiotic,Psychosis control,"Fatigue, Nausea",930,Sublingual,Heart disease,Use with caution in elderly,404.99,XU637Jr,7/13/2028,Severe,Pending
Daxoparin63,Bayer AG,2008,Antidepressant,Depression treatment,Headache,540,Rectal,High blood pressure,May cause drowsiness,199.66,Tk085vp,1/28/2028,Mild,Pending
Rivacillin31,Pfizer Inc.,2020,Antidepressant,Psychosis control,"Dry mouth, Diarrhea, Dizziness",770,Oral,Allergic reaction,Take with food,292.57,kU674zS,8/12/2027,Severe,Approved
Loxoparin12,AstraZeneca,2010,Anti-inflammatory,Depression treatment,"Headache, Constipation, Diarrhea",980,Oral,Heart disease,Avoid sunlight exposure,159.48,yr878wR,12/24/2025,Moderate,Pending
Amoxdipine33,Pfizer Inc.,2024,Antipsychotic,Psychosis control,"Nausea, Fatigue",300,Inhalation,Heart disease,Do not discontinue abruptly,70.98,iA872ZS,4/21/2026,Mild,Approved
Mecostatin65,Johnson & Johnson,2002,Vaccine,Depression treatment,Blurred vision,80,Intramuscular,Diabetes,Monitor blood pressure,423.57,Ql171uy,7/27/2027,Moderate,Approved
Cefstatin33,Novartis AG,2010,Anti-inflammatory,Pain relief,Diarrhea,720,Sublingual,Seizures,May cause drowsiness,436.12,Ab237WJ,10/6/2026,Moderate,Rejected
Loxozole23,Novartis AG,1999,Antihistamine,Fungal infections,"Dizziness, Nausea",600,Intravenous,Bleeding disorders,Use with caution in elderly,464.21,pi281Ss,12/10/2026,Severe,Pending
Amoxdipine26,Pfizer Inc.,2008,Antiviral,Allergy relief,"Diarrhea, Nausea, Rash",570,Intramuscular,Kidney impairment,Do not operate machinery,166.66,sL924lS,2/15/2028,Moderate,Rejected
Viraparin51,Roche Holding AG,2007,Antibiotic,Prevent infectious disease,Constipation,690,Intramuscular,High blood pressure,Avoid sunlight exposure,219.27,fu518qi,1/2/2028,Severe,Pending
Cefdipine35,Novartis AG,2010,Vaccine,Inflammation reduction,Headache,40,Sublingual,Asthma,May affect fertility,172.89,Cl353cX,5/9/2026,Moderate,Pending
Daxomab69,Novartis AG,1993,Antipsychotic,Inflammation reduction,Diarrhea,130,Topical,Pregnancy,Risk of addiction,335.61,XA560uo,12/9/2025,Mild,Rejected
Cefdipine81,Pfizer Inc.,1999,Anti-inflammatory,Fever reduction,Constipation,950,Intravenous,Kidney impairment,Use with caution in elderly,486.71,vG592Kr,6/15/2027,Moderate,Approved
Cefzepam68,Pfizer Inc.,2012,Vaccine,Viral infections,Dry mouth,180,Intramuscular,Asthma,Avoid alcohol,444.56,md912RI,1/9/2028,Severe,Pending
Rivaprofen39,Pfizer Inc.,1998,Antidepressant,Pain relief,"Headache, Rash, Fatigue",640,Intravenous,Liver disease,May cause drowsiness,317.21,nI312Ok,9/7/2025,Moderate,Rejected
Viramab35,Merck & Co.,1998,Antipyretic,Fever reduction,"Fatigue, Dizziness",780,Intravenous,Pregnancy,Do not discontinue abruptly,45.75,Vr005Oz,3/29/2026,Severe,Approved
Seroxetine66,Novartis AG,1998,Antihistamine,Prevent infectious disease,Fatigue,790,Intramuscular,Allergic reaction,May affect fertility,132.13,zW259Kw,1/29/2028,Severe,Pending
Loxoprofen81,Roche Holding AG,2016,Antiviral,Viral infections,"Blurred vision, Dizziness, Diarrhea",670,Inhalation,Liver disease,May cause drowsiness,108.51,kS984cS,10/25/2027,Mild,Rejected
Zylocillin21,Merck & Co.,1990,Anti-inflammatory,Psychosis control,"Rash, Blurred vision, Headache",720,Intramuscular,Allergic reaction,Monitor blood pressure,168.01,zQ555sZ,5/29/2028,Severe,Rejected
Rivadipine83,Sanofi,2001,Antipsychotic,Inflammation reduction,"Nausea, Diarrhea, Fatigue",660,Oral,Diabetes,Risk of addiction,240.14,Fo769pn,4/15/2027,Severe,Pending
Zylocillin36,Johnson & Johnson,2013,Antibiotic,Fever reduction,Blurred vision,220,Rectal,Heart disease,Monitor blood pressure,175.91,km588qR,12/5/2025,Mild,Approved
Fenostatin75,Moderna Therapeutics,2001,Antipyretic,Prevent infectious disease,Blurred vision,500,Oral,Heart disease,Take with food,377.9,uQ740bT,12/12/2025,Severe,Pending
Daxodipine71,Novartis AG,2024,Antidepressant,Psychosis control,"Rash, Fatigue",490,Topical,Allergic reaction,Take with food,307.22,Gc404XS,12/11/2026,Mild,Pending
Rivaparin92,GlaxoSmithKline,2013,Antipyretic,Allergy relief,Dry mouth,880,Sublingual,Seizures,Do not operate machinery,285.43,Vu405lj,3/14/2027,Mild,Approved
Rivazole11,Sanofi,2014,Antifungal,Pain relief,Insomnia,960,Sublingual,Diabetes,Risk of addiction,253.78,VY323fs,6/1/2027,Severe,Pending
Loxoxetine86,Pfizer Inc.,1997,Antiviral,Bacterial infections,Insomnia,20,Rectal,Liver disease,Do not operate machinery,411.75,Bj090zz,7/3/2027,Moderate,Pending
Amoxparin87,Pfizer Inc.,1996,Antiviral,Viral infections,Rash,950,Oral,Bleeding disorders,Do not discontinue abruptly,290.68,OD804zI,12/30/2025,Mild,Pending
Cefmab41,Novartis AG,2018,Antidepressant,Depression treatment,"Insomnia, Blurred vision",100,Rectal,Asthma,Take with food,79.2,yg538kB,2/27/2028,Mild,Rejected
Seroprofen33,Moderna Therapeutics,2016,Antiviral,Inflammation reduction,"Nausea, Headache",400,Topical,Seizures,Monitor blood pressure,427.2,EI220iQ,9/8/2027,Moderate,Rejected
Zylozepam89,Moderna Therapeutics,2012,Antibiotic,Bacterial infections,"Constipation, Fatigue, Dizziness",430,Intramuscular,Heart disease,Risk of addiction,325.18,JD572ZP,7/14/2026,Moderate,Pending
Rivadipine71,GlaxoSmithKline,2000,Antibiotic,Inflammation reduction,Fatigue,690,Topical,Kidney impairment,Risk of addiction,450.93,wI853QP,12/25/2025,Mild,Pending
Daxocillin68,Novartis AG,2021,Vaccine,Fungal infections,"Rash, Insomnia, Diarrhea",480,Rectal,Asthma,Avoid sunlight exposure,222.26,GB442gr,12/1/2027,Mild,Approved
Viradipine34,Sanofi,2005,Antibiotic,Fungal infections,"Diarrhea, Fatigue",10,Inhalation,Liver disease,Monitor blood pressure,395.27,Al050uH,7/16/2028,Severe,Pending
Zyloparin86,Roche Holding AG,2006,Antihistamine,Fever reduction,"Rash, Fatigue",510,Intramuscular,Diabetes,Take with food,155.78,Tc399gu,6/17/2027,Mild,Pending
Viracillin10,Pfizer Inc.,2012,Antibiotic,Prevent infectious disease,"Constipation, Blurred vision, Dry mouth",310,Sublingual,Asthma,May cause drowsiness,304.18,lU851SE,5/3/2026,Mild,Pending
Loxozole64,Roche Holding AG,2000,Anti-inflammatory,Bacterial infections,"Constipation, Nausea, Insomnia",280,Oral,Asthma,May cause drowsiness,293.07,Yy817fu,4/20/2028,Severe,Rejected
Fenoprofen59,Moderna Therapeutics,2024,Vaccine,Bacterial infections,Fatigue,640,Oral,Allergic reaction,May affect fertility,172.04,jG663gM,7/28/2028,Mild,Rejected
Amoxxetine63,Bayer AG,2016,Antifungal,Viral infections,"Headache, Nausea",380,Inhalation,Asthma,Take with food,333.92,fn412FG,7/1/2027,Severe,Pending
Daxozepam21,Johnson & Johnson,2017,Antifungal,Depression treatment,"Headache, Insomnia, Blurred vision",900,Topical,Seizures,Monitor blood pressure,2.77,FS513KN,2/9/2027,Moderate,Rejected
Serocillin13,Roche Holding AG,2024,Antihistamine,Fever reduction,"Dry mouth, Headache",630,Oral,Diabetes,Do not discontinue abruptly,222.72,jc664uD,6/9/2026,Moderate,Pending
Zylozepam71,Moderna Therapeutics,1995,Anti-inflammatory,Pain relief,"Blurred vision, Fatigue",620,Inhalation,Heart disease,Use with caution in elderly,39.03,Fx851Cq,6/17/2028,Moderate,Approved
Zylozepam80,Johnson & Johnson,1997,Antifungal,Psychosis control,"Insomnia, Rash, Constipation",580,Sublingual,Seizures,May affect fertility,340.04,VZ878Jw,7/8/2028,Moderate,Approved
Daxozole39,Moderna Therapeutics,2015,Antipsychotic,Pain relief,Blurred vision,640,Topical,Heart disease,May cause drowsiness,245.05,Mu919fm,11/8/2026,Moderate,Rejected
Serodipine59,Sanofi,2001,Antidepressant,Psychosis control,"Blurred vision, Insomnia",220,Inhalation,High blood pressure,Do not discontinue abruptly,256.59,Eq510dI,11/18/2026,Severe,Approved
Rivazole30,Moderna Therapeutics,2021,Vaccine,Viral infections,"Insomnia, Diarrhea, Headache",980,Sublingual,Liver disease,Do not operate machinery,144.28,XL375dC,11/23/2025,Moderate,Pending
Rivaprofen79,GlaxoSmithKline,2021,Antipsychotic,Allergy relief,Blurred vision,780,Inhalation,Bleeding disorders,Do not discontinue abruptly,166.53,HC829Bq,2/19/2026,Mild,Approved
Zylozepam79,Sanofi,2001,Antidepressant,Viral infections,Insomnia,530,Rectal,Liver disease,Do not operate machinery,341.54,pP868PS,2/10/2028,Mild,Approved
Viracillin89,GlaxoSmithKline,2023,Antipsychotic,Fungal infections,"Rash, Insomnia",360,Oral,High blood pressure,Do not operate machinery,219.75,Kr982On,5/31/2026,Mild,Approved
Loxocillin94,Moderna Therapeutics,1997,Analgesic,Fever reduction,"Dizziness, Nausea, Fatigue",390,Topical,Kidney impairment,Do not operate machinery,167.1,Nu381Kc,5/10/2028,Mild,Approved
Daxomab18,Johnson & Johnson,1999,Anti-inflammatory,Bacterial infections,Diarrhea,740,Intravenous,Liver disease,Do not discontinue abruptly,155.1,jN609DO,2/17/2028,Severe,Pending
Mecodipine48,GlaxoSmithKline,2023,Anti-inflammatory,Fungal infections,"Dry mouth, Rash, Nausea",350,Intravenous,Pregnancy,Monitor blood pressure,487.58,tS016hI,5/11/2028,Mild,Approved
Daxovir91,GlaxoSmithKline,2019,Vaccine,Viral infections,Dizziness,650,Intramuscular,High blood pressure,May affect fertility,225.26,jL801Tq,8/25/2025,Mild,Pending
Loxocillin70,Bayer AG,2006,Vaccine,Allergy relief,"Nausea, Dizziness, Diarrhea",700,Intramuscular,Heart disease,Use with caution in elderly,15.47,EE953TA,6/30/2028,Mild,Pending
Rivaxetine71,Novartis AG,2004,Analgesic,Psychosis control,Headache,970,Oral,Heart disease,Use with caution in elderly,302.6,ZT307DD,8/17/2027,Severe,Rejected
Daxoprofen36,Merck & Co.,2015,Vaccine,Viral infections,"Headache, Constipation, Dizziness",360,Intravenous,Pregnancy,Avoid sunlight exposure,296.93,bb288yu,8/25/2026,Moderate,Rejected
Fenoxetine15,Novartis AG,1994,Antipsychotic,Pain relief,Fatigue,790,Rectal,Asthma,Do not operate machinery,365.61,Nd082Fy,10/17/2027,Moderate,Pending
Loxovir99,Merck & Co.,2018,Antidepressant,Fever reduction,"Blurred vision, Rash",980,Intramuscular,Pregnancy,Take with food,7.19,SV922Fh,10/3/2027,Severe,Approved
Seroxetine20,Bayer AG,2002,Antiviral,Inflammation reduction,"Fatigue, Diarrhea, Blurred vision",500,Rectal,Allergic reaction,Monitor blood pressure,428.86,Sa856zC,5/29/2026,Moderate,Rejected
Amoxdipine18,Bayer AG,1999,Antifungal,Bacterial infections,"Fatigue, Insomnia, Dizziness",10,Rectal,Asthma,May affect fertility,408.63,NS778ns,5/17/2028,Moderate,Approved
Amoxmab17,Pfizer Inc.,2017,Antihistamine,Fever reduction,"Nausea, Dizziness, Diarrhea",90,Inhalation,Diabetes,May affect fertility,33.69,Xh682Dk,11/1/2027,Mild,Approved
Amoxzepam62,Sanofi,1994,Antiviral,Allergy relief,"Constipation, Rash",260,Oral,Seizures,Do not discontinue abruptly,331.47,Np179DL,2/12/2027,Moderate,Approved
Rivavir98,Sanofi,2019,Antiviral,Inflammation reduction,Nausea,120,Intramuscular,High blood pressure,Do not discontinue abruptly,461.18,op152DQ,3/12/2028,Moderate,Pending
Seroprofen62,Bayer AG,2000,Antipyretic,Pain relief,"Blurred vision, Rash, Dry mouth",460,Oral,Asthma,Do not operate machinery,394.7,nc824hO,7/24/2026,Mild,Pending
Viravir80,AstraZeneca,2023,Antiviral,Psychosis control,Dizziness,170,Inhalation,Allergic reaction,Do not operate machinery,17.22,CC948uU,7/31/2026,Moderate,Pending
Viramab60,Johnson & Johnson,2010,Antifungal,Viral infections,"Insomnia, Blurred vision",970,Sublingual,Allergic reaction,Avoid alcohol,323.61,Ik518rQ,3/28/2026,Severe,Rejected
Loxocillin18,GlaxoSmithKline,1990,Antidepressant,Viral infections,Rash,910,Intramuscular,Asthma,Use with caution in elderly,122.42,Mq586Pw,2/13/2026,Severe,Rejected
Serozepam76,Sanofi,1999,Antiviral,Fungal infections,"Dizziness, Diarrhea, Dry mouth",230,Sublingual,Pregnancy,Monitor blood pressure,185.38,Fe393pD,10/14/2025,Mild,Pending
Fenovir79,Roche Holding AG,1996,Antibiotic,Inflammation reduction,"Diarrhea, Blurred vision",60,Topical,Diabetes,Risk of addiction,286.83,uG545Ft,11/1/2026,Severe,Rejected
Fenovir13,AstraZeneca,1998,Antipyretic,Depression treatment,"Fatigue, Diarrhea",740,Inhalation,Allergic reaction,Do not discontinue abruptly,298.8,Wo164eP,1/30/2028,Moderate,Approved
Virastatin46,Pfizer Inc.,2012,Anti-inflammatory,Bacterial infections,"Constipation, Nausea, Diarrhea",350,Topical,Bleeding disorders,Do not operate machinery,36.76,HL086ny,1/23/2027,Mild,Pending
Seroxetine29,Sanofi,2005,Vaccine,Pain relief,Fatigue,90,Rectal,High blood pressure,Use with caution in elderly,156.71,PR606gM,11/23/2027,Severe,Rejected
Daxoparin15,Pfizer Inc.,1990,Antipsychotic,Fungal infections,Rash,390,Inhalation,Liver disease,Use with caution in elderly,360.66,PE669MQ,12/16/2025,Mild,Rejected
Seroprofen43,GlaxoSmithKline,1996,Antiviral,Pain relief,"Headache, Nausea",240,Inhalation,Kidney impairment,Use with caution in elderly,184.68,nt774dO,3/21/2027,Severe,Approved
Serozepam38,Pfizer Inc.,2014,Antidepressant,Fungal infections,Blurred vision,150,Inhalation,High blood pressure,May cause drowsiness,104.4,Wk927Gy,10/13/2025,Moderate,Rejected
Amoxxetine21,GlaxoSmithKline,2010,Antifungal,Bacterial infections,Dry mouth,780,Rectal,Liver disease,Avoid sunlight exposure,343.93,kb039mD,8/29/2026,Moderate,Approved
Rivaxetine20,Novartis AG,2006,Antihistamine,Pain relief,"Blurred vision, Headache",690,Topical,Asthma,Do not discontinue abruptly,360.76,fu099fE,5/29/2027,Severe,Pending
Cefparin29,Bayer AG,1992,Analgesic,Fungal infections,"Insomnia, Dizziness",860,Oral,Diabetes,Avoid sunlight exposure,166.49,Ww033ag,7/16/2027,Severe,Approved
Fenodipine70,Pfizer Inc.,2010,Antibiotic,Psychosis control,"Insomnia, Dizziness",230,Intramuscular,Diabetes,Do not operate machinery,200.84,CR101dM,1/20/2028,Severe,Rejected
Virastatin74,Johnson & Johnson,2016,Antiviral,Fever reduction,Blurred vision,600,Inhalation,Bleeding disorders,May cause drowsiness,42.74,sY374ZZ,6/2/2028,Moderate,Pending
Fenozole86,Merck & Co.,1992,Antifungal,Prevent infectious disease,"Blurred vision, Constipation",910,Topical,Seizures,Monitor blood pressure,304.35,Op759uC,6/23/2027,Severe,Approved
Zylovir52,Moderna Therapeutics,1995,Antiviral,Fever reduction,"Insomnia, Fatigue",750,Intramuscular,Heart disease,Risk of addiction,438.19,QE001XH,12/10/2025,Mild,Approved
Viraparin77,Merck & Co.,2024,Vaccine,Inflammation reduction,Fatigue,760,Intravenous,Liver disease,May cause drowsiness,209.23,bS927JN,8/21/2026,Moderate,Pending
Viravir99,Novartis AG,1992,Antidepressant,Fever reduction,"Dizziness, Rash, Constipation",850,Intramuscular,Pregnancy,Avoid alcohol,250.81,Qn432uj,4/14/2026,Severe,Rejected
Serovir24,Novartis AG,2011,Antihistamine,Viral infections,Nausea,420,Sublingual,Diabetes,Do not discontinue abruptly,112.49,jl504Oe,5/10/2026,Moderate,Approved
Cefstatin53,Sanofi,2022,Vaccine,Prevent infectious disease,"Fatigue, Blurred vision, Rash",720,Rectal,Asthma,Avoid alcohol,39.2,yX844Zx,3/8/2027,Moderate,Rejected
Zylomab50,Sanofi,2010,Antiviral,Pain relief,Blurred vision,870,Intravenous,Allergic reaction,Do not operate machinery,158.54,Qi786gz,2/17/2028,Moderate,Pending
Cefdipine11,Pfizer Inc.,1996,Analgesic,Allergy relief,"Rash, Dry mouth",850,Intravenous,Pregnancy,Use with caution in elderly,133.83,aF898gb,3/2/2026,Severe,Approved
Loxoxetine84,GlaxoSmithKline,2007,Vaccine,Prevent infectious disease,"Nausea, Headache, Rash",520,Inhalation,High blood pressure,Take with food,470.14,dW364zP,9/5/2027,Mild,Approved
Fenodipine81,Novartis AG,1993,Vaccine,Psychosis control,Fatigue,850,Intramuscular,High blood pressure,Use with caution in elderly,309.25,yQ720eK,3/19/2028,Moderate,Rejected
Serostatin21,Roche Holding AG,2011,Antibiotic,Viral infections,Diarrhea,830,Oral,Heart disease,Monitor blood pressure,315.07,MV777Oh,12/4/2025,Severe,Rejected
Zylodipine53,AstraZeneca,1995,Antipsychotic,Fever reduction,"Blurred vision, Rash, Dizziness",580,Topical,Diabetes,Risk of addiction,124.46,or859Lm,1/4/2026,Severe,Approved
